locus_tag	ftype	length_bp	gene	EC_number	COG	product
KPHNEHLD_00001	CDS	1383	dnaA		COG0593	Chromosomal replication initiator protein DnaA
KPHNEHLD_00002	CDS	1098	dnaN		COG0592	Beta sliding clamp
KPHNEHLD_00003	CDS	1089	recF		COG1195	DNA replication and repair protein RecF
KPHNEHLD_00004	CDS	342				hypothetical protein
KPHNEHLD_00005	CDS	1935	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
KPHNEHLD_00006	CDS	2487	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
KPHNEHLD_00007	CDS	315				hypothetical protein
KPHNEHLD_00008	CDS	741				hypothetical protein
KPHNEHLD_00009	tRNA	75				tRNA-Ile(gat)
KPHNEHLD_00010	CDS	132				hypothetical protein
KPHNEHLD_00011	CDS	978				hypothetical protein
KPHNEHLD_00012	CDS	852	fliA_1			RNA polymerase sigma factor FliA
KPHNEHLD_00013	CDS	519				hypothetical protein
KPHNEHLD_00014	CDS	999				hypothetical protein
KPHNEHLD_00015	CDS	696				hypothetical protein
KPHNEHLD_00016	CDS	765	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
KPHNEHLD_00017	CDS	1611				hypothetical protein
KPHNEHLD_00018	CDS	429	perR		COG0735	Peroxide operon regulator
KPHNEHLD_00019	CDS	1596	prfC		COG4108	Peptide chain release factor 3
KPHNEHLD_00020	CDS	1554	caeA_1	3.1.1.-		Carboxylesterase A
KPHNEHLD_00021	CDS	1203				hypothetical protein
KPHNEHLD_00022	CDS	3522				hypothetical protein
KPHNEHLD_00023	CDS	462				hypothetical protein
KPHNEHLD_00024	CDS	948				hypothetical protein
KPHNEHLD_00025	tRNA	74				tRNA-Ala(tgc)
KPHNEHLD_00026	CDS	1128	xerC_1			Tyrosine recombinase XerC
KPHNEHLD_00027	CDS	462				hypothetical protein
KPHNEHLD_00028	CDS	819				hypothetical protein
KPHNEHLD_00029	CDS	534				hypothetical protein
KPHNEHLD_00030	CDS	357				hypothetical protein
KPHNEHLD_00031	CDS	159				hypothetical protein
KPHNEHLD_00032	CDS	291				hypothetical protein
KPHNEHLD_00033	CDS	348				hypothetical protein
KPHNEHLD_00034	CDS	123				hypothetical protein
KPHNEHLD_00035	CDS	522				hypothetical protein
KPHNEHLD_00036	CDS	363				hypothetical protein
KPHNEHLD_00037	CDS	201				hypothetical protein
KPHNEHLD_00038	CDS	627				hypothetical protein
KPHNEHLD_00039	CDS	468				hypothetical protein
KPHNEHLD_00040	CDS	267				hypothetical protein
KPHNEHLD_00041	CDS	516				hypothetical protein
KPHNEHLD_00042	CDS	726				hypothetical protein
KPHNEHLD_00043	CDS	1539				hypothetical protein
KPHNEHLD_00044	CDS	420				hypothetical protein
KPHNEHLD_00045	CDS	273				hypothetical protein
KPHNEHLD_00046	CDS	531				hypothetical protein
KPHNEHLD_00047	CDS	273				hypothetical protein
KPHNEHLD_00048	CDS	192				hypothetical protein
KPHNEHLD_00049	CDS	864	dpnM	2.1.1.72		Modification methylase DpnIIA
